Codice richiesta,80749
Codice Stazione,S2576
Denominazione,DIGA DEL CHIOTAS
Localita',DIGA DEL CHIOTAS
UTM X,366881 m
UTM Y,4891327 m
Quota,2020 m s.l.m.
Periodo, 2018-01-01 / 2021-12-05
Dati giornalieri di temperatura dell'aria
data,ora minimo (UTC),Tmin (gradi C),classe minimo,Tmed,classe media,ora massimo (UTC),Tmax,classe massimo
01/01/2018 , 07:45 ,    -4.1 , 0 ,    -0.1 , Z , 12:50 ,     4.1 , 0
02/01/2018 , 06:15 ,    -3.9 , 0 ,    -1.0 , Z , 18:45 ,     4.9 , 0
03/01/2018 , 20:55 ,     0.0 , 0 ,     5.1 , Z , 07:50 ,    10.7 , 0
04/01/2018 , 00:10 ,     0.3 , 0 ,     6.6 , Z , 10:15 ,    10.8 , 0
05/01/2018 , 23:00 ,     1.1 , 0 ,     5.7 , Z , 12:25 ,     8.7 , 0
06/01/2018 , 08:40 ,    -3.2 , 0 ,    -1.2 , Z , 00:05 ,     1.6 , 0
07/01/2018 , 23:00 ,    -3.2 , 0 ,    -2.6 , Z , 12:55 ,    -1.4 , 0
08/01/2018 , 20:35 ,    -3.3 , 0 ,    -2.6 , Z , 09:25 ,    -1.5 , 0
09/01/2018 , 18:20 ,    -4.0 , 0 ,    -2.6 , Z , 11:15 ,    -1.5 , 0
10/01/2018 , 23:00 ,    -7.8 , Z ,    -3.1 , Z , 14:00 ,    -0.7 , Z
11/01/2018 , 01:00 ,    -8.3 , 0 ,    -5.7 , Z , 11:45 ,    -2.4 , 0
12/01/2018 , 22:05 ,    -6.3 , 0 ,    -4.8 , Z , 13:00 ,    -0.6 , 0
13/01/2018 , 05:15 ,    -7.3 , 0 ,    -5.5 , Z , 13:20 ,    -0.6 , 0
14/01/2018 , 03:10 ,    -8.1 , 0 ,    -6.0 , Z , 11:20 ,    -2.1 , 0
15/01/2018 , 01:35 ,    -7.5 , 0 ,    -2.7 , Z , 12:00 ,     0.7 , 0
16/01/2018 , 00:30 ,    -3.1 , 0 ,     1.9 , Z , 13:05 ,     8.0 , 0
17/01/2018 , 18:15 ,    -7.6 , 0 ,    -3.0 , Z , 00:10 ,     3.5 , 0
18/01/2018 , 01:30 ,    -4.9 , 0 ,     2.2 , Z , 12:55 ,     8.9 , 0
19/01/2018 , 22:05 ,    -5.7 , 0 ,    -0.3 , Z , 11:50 ,     5.2 , 0
20/01/2018 , 06:10 ,    -6.5 , 0 ,    -1.3 , Z , 23:59 ,     5.7 , 0
21/01/2018 , 09:05 ,     1.2 , 0 ,     4.2 , Z , 13:25 ,     8.3 , 0
22/01/2018 , 21:10 ,     1.9 , 0 ,     5.2 , Z , 13:20 ,     9.2 , 0
23/01/2018 , 22:10 ,    -0.3 , 0 ,     3.6 , Z , 12:15 ,     8.8 , 0
24/01/2018 , 00:35 ,     0.3 , 0 ,     3.7 , Z , 10:50 ,     7.9 , 0
25/01/2018 , 23:10 ,    -4.5 , 0 ,     2.3 , Z , 00:10 ,     4.6 , 0
26/01/2018 , 01:40 ,    -5.0 , 0 ,    -3.9 , Z , 01:20 ,    -2.3 , 0
27/01/2018 , 01:10 ,    -4.5 , 0 ,    -2.6 , Z , 13:00 ,     0.4 , 0
28/01/2018 , 05:50 ,    -1.4 , 0 ,     1.7 , Z , 11:30 ,     6.4 , 0
29/01/2018 , 00:45 ,     2.1 , 0 ,     4.7 , Z , 12:10 ,    11.3 , 0
30/01/2018 , 23:20 ,    -1.7 , 0 ,     3.1 , Z , 12:00 ,    11.4 , 0
31/01/2018 , 02:15 ,    -2.4 , 0 ,     1.9 , Z , 11:00 ,     8.1 , 0
01/02/2018 , 23:30 ,    -6.2 , 0 ,    -2.0 , Z , 12:15 ,     0.5 , 0
02/02/2018 , 06:15 ,    -8.2 , 0 ,    -5.9 , Z , 10:45 ,    -1.6 , 0
03/02/2018 , 20:50 ,   -10.1 , 0 ,    -7.7 , Z , 13:50 ,    -2.4 , 0
04/02/2018 , 04:55 ,   -11.0 , 0 ,    -8.4 , Z , 12:40 ,    -3.2 , 0
05/02/2018 , 00:25 ,    -9.0 , 0 ,    -8.0 , Z , 12:50 ,    -4.2 , 0
06/02/2018 , 00:10 ,    -8.4 , 0 ,    -7.3 , Z , 11:20 ,    -5.1 , 0
07/02/2018 , 02:45 ,    -7.4 , 0 ,    -5.5 , Z , 11:05 ,     0.4 , 0
08/02/2018 , 23:45 ,    -8.1 , 0 ,    -5.0 , Z , 12:00 ,     3.2 , 0
09/02/2018 , 23:59 ,    -9.2 , 0 ,    -6.4 , Z , 10:25 ,     0.4 , 0
10/02/2018 , 01:55 ,    -9.5 , 0 ,    -7.4 , Z , 13:40 ,    -0.6 , 0
11/02/2018 , 00:15 ,    -7.4 , 0 ,    -1.4 , Z , 13:30 ,     7.9 , 0
12/02/2018 , 23:55 ,   -12.0 , 0 ,    -6.2 , Z , 03:05 ,    -1.1 , 0
13/02/2018 , 05:05 ,   -13.9 , 0 ,    -9.7 , Z , 11:10 ,    -2.4 , 0
14/02/2018 , 05:55 ,   -13.6 , 0 ,    -8.4 , Z , 13:05 ,    -0.2 , 0
15/02/2018 , 00:25 ,    -7.6 , 0 ,    -0.1 , Z , 14:40 ,     7.0 , 0
16/02/2018 , 23:35 ,     1.7 , 0 ,     6.5 , Z , 10:00 ,    12.3 , 0
17/02/2018 , 21:20 ,    -4.9 , 0 ,     1.8 , Z , 01:35 ,     5.2 , 0
18/02/2018 , 23:59 ,    -6.1 , 0 ,    -3.9 , Z , 11:45 ,    -0.7 , 0
19/02/2018 , 19:15 ,    -9.5 , 0 ,    -6.1 , Z , 12:55 ,    -2.1 , 0
20/02/2018 , 22:30 ,    -9.4 , 0 ,    -5.9 , Z , 10:55 ,     0.4 , 0
21/02/2018 , 05:45 ,   -10.1 , 0 ,    -9.0 , Z , 00:30 ,    -8.0 , 0
22/02/2018 , 20:25 ,    -9.1 , 0 ,    -8.5 , Z , 12:30 ,    -7.5 , 0
23/02/2018 , 02:30 ,    -8.9 , 0 ,    -7.6 , Z , 14:25 ,    -5.2 , 0
24/02/2018 , 02:05 ,    -7.9 , 0 ,    -4.7 , Z , 12:40 ,    -0.2 , 0
25/02/2018 , 20:55 ,   -15.1 , 0 ,    -8.6 , Z , 10:10 ,    -2.6 , 0
26/02/2018 , 06:05 ,   -18.7 , 0 ,   -15.7 , Z , 12:40 ,    -9.1 , 0
27/02/2018 , 06:15 ,   -20.7 , 0 ,   -16.9 , Z , 12:55 ,   -10.5 , 0
28/02/2018 , 00:15 ,   -19.3 , 0 ,   -16.0 , Z , 10:10 ,   -12.5 , 0
01/03/2018 , 00:40 ,   -16.4 , 0 ,   -13.5 , Z , 23:55 ,    -9.8 , 0
02/03/2018 , 01:35 ,    -9.8 , 0 ,    -4.7 , Z , 20:50 ,     1.1 , 0
03/03/2018 , 08:40 ,    -6.3 , 0 ,    -2.1 , Z , 02:00 ,     1.4 , 0
04/03/2018 , 22:15 ,    -5.3 , 0 ,    -1.2 , Z , 10:20 ,     7.4 , 0
05/03/2018 , 02:45 ,    -5.5 , 0 ,    -3.7 , Z , 13:00 ,     1.0 , 0
06/03/2018 , 05:10 ,    -5.7 , 0 ,    -1.4 , Z , 10:45 ,     6.2 , 0
07/03/2018 , 19:40 ,    -6.0 , 0 ,    -1.9 , Z , 11:25 ,     7.0 , 0
08/03/2018 , 00:25 ,    -5.4 , 0 ,    -1.7 , Z , 09:05 ,     3.9 , 0
09/03/2018 , 02:40 ,    -5.3 , 0 ,     0.6 , Z , 13:15 ,     7.7 , 0
10/03/2018 , 06:45 ,    -2.6 , 0 ,     1.9 , Z , 16:50 ,     4.6 , 0
11/03/2018 , 21:55 ,    -3.1 , 0 ,    -1.8 , Z , 17:25 ,     0.2 , 0
12/03/2018 , 05:30 ,    -3.0 , 0 ,     0.9 , Z , 10:55 ,     8.8 , 0
13/03/2018 , 06:20 ,    -3.9 , 0 ,    -0.3 , Z , 11:50 ,     6.7 , 0
14/03/2018 , 02:45 ,    -3.6 , 0 ,     0.4 , Z , 09:55 ,     8.0 , 0
15/03/2018 , 20:10 ,    -5.8 , 0 ,    -3.1 , Z , 10:45 ,    -0.8 , 0
16/03/2018 , 01:10 ,    -5.4 , 0 ,    -1.0 , Z , 12:30 ,     3.4 , 0
17/03/2018 , 21:15 ,    -6.3 , 0 ,    -2.3 , Z , 10:00 ,     1.9 , 0
18/03/2018 , 02:25 ,    -7.5 , 0 ,    -5.3 , Z , 10:10 ,    -2.3 , 0
19/03/2018 , 21:35 ,    -7.8 , 0 ,    -3.7 , Z , 10:55 ,     4.4 , 0
20/03/2018 , 23:25 ,    -9.2 , 0 ,    -5.9 , Z , 12:10 ,    -0.6 , 0
21/03/2018 , 20:15 ,   -11.5 , 0 ,    -9.8 , Z , 14:40 ,    -6.0 , 0
22/03/2018 , 05:25 ,   -11.9 , 0 ,    -4.2 , Z , 10:20 ,     5.8 , 0
23/03/2018 , 05:35 ,    -7.2 , 0 ,    -2.5 , Z , 12:20 ,     4.0 , 0
24/03/2018 , 06:45 ,    -7.7 , 0 ,    -5.0 , Z , 09:45 ,     2.1 , 0
25/03/2018 , 20:20 ,    -6.6 , 0 ,    -5.2 , Z , 14:20 ,     0.7 , 0
26/03/2018 , 00:35 ,    -6.2 , 0 ,    -1.1 , Z , 14:25 ,     6.7 , 0
27/03/2018 , 05:25 ,    -4.2 , 0 ,    -0.2 , Z , 11:00 ,     5.0 , 0
28/03/2018 , 00:55 ,    -0.7 , 0 ,     4.2 , Z , 09:30 ,    12.4 , 0
29/03/2018 , 23:59 ,     0.1 , 0 ,     3.0 , Z , 08:45 ,     6.2 , 0
30/03/2018 , 22:40 ,    -2.6 , 0 ,     0.2 , Z , 09:50 ,     2.0 , 0
31/03/2018 , 22:35 ,    -4.6 , 0 ,    -1.5 , Z , 09:35 ,     3.8 , 0
01/04/2018 , 02:00 ,    -4.9 , 0 ,    -0.4 , Z , 13:35 ,     5.8 , 0
02/04/2018 , 23:55 ,    -2.0 , 0 ,     2.8 , Z , 09:35 ,     9.9 , 0
03/04/2018 , 03:05 ,    -2.8 , 0 ,    -0.9 , Z , 02:25 ,     3.2 , 0
04/04/2018 , 00:25 ,    -2.7 , 0 ,     0.2 , Z , 09:10 ,     4.1 , 0
05/04/2018 , 04:30 ,    -0.8 , 0 ,     3.6 , Z , 13:10 ,    10.6 , 0
06/04/2018 , 05:00 ,    -1.3 , 0 ,     3.5 , Z , 12:40 ,    10.7 , 0
07/04/2018 , 04:30 ,     0.3 , 0 ,     3.4 , Z , 10:55 ,     9.5 , 0
08/04/2018 , 23:45 ,    -1.3 , 0 ,     0.4 , Z , 06:35 ,     1.9 , 0
09/04/2018 , 04:05 ,    -1.8 , 0 ,     0.3 , Z , 12:55 ,     7.6 , 0
10/04/2018 , 23:55 ,    -3.8 , 0 ,    -1.7 , Z , 00:30 ,     0.6 , 0
11/04/2018 , 00:25 ,    -4.5 , 0 ,    -2.6 , Z , 13:40 ,    -0.1 , 0
12/04/2018 , 03:40 ,    -4.2 , 0 ,    -2.4 , Z , 12:25 ,     0.5 , 0
13/04/2018 , 01:05 ,    -3.6 , 0 ,     0.1 , Z , 13:20 ,     8.0 , 0
14/04/2018 , 05:05 ,    -1.0 , 0 ,     1.4 , Z , 12:35 ,     7.2 , 0
15/04/2018 , 00:15 ,    -0.7 , 0 ,     1.8 , Z , 10:55 ,     6.1 , 0
16/04/2018 , 04:25 ,     1.9 , 0 ,     6.2 , Z , 09:50 ,    15.6 , 0
17/04/2018 , 20:20 ,     3.7 , 0 ,     6.9 , Z , 13:15 ,    13.4 , 0
18/04/2018 , 04:15 ,     3.7 , 0 ,     5.6 , Z , 11:45 ,     9.0 , 0
19/04/2018 , 04:20 ,     3.8 , 0 ,     7.2 , Z , 10:20 ,    15.1 , 0
20/04/2018 , 05:15 ,     4.0 , 0 ,     7.8 , Z , 11:20 ,    15.8 , 0
21/04/2018 , 01:35 ,     4.3 , 0 ,     8.1 , Z , 11:10 ,    12.5 , 0
22/04/2018 , 05:10 ,     6.4 , 0 ,     9.2 , Z , 11:30 ,    13.9 , 0
23/04/2018 , 04:50 ,     6.4 , 0 ,     9.7 , Z , 13:35 ,    13.8 , 0
24/04/2018 , 06:00 ,     6.0 , 0 ,     8.9 , Z , 10:50 ,    14.4 , 0
25/04/2018 , 05:00 ,     5.6 , 0 ,    10.0 , Z , 13:20 ,    16.1 , 0
26/04/2018 , 21:20 ,     6.0 , 0 ,    10.0 , Z , 13:20 ,    16.5 , 0
27/04/2018 , 23:59 ,     3.0 , 0 ,     7.3 , Z , 10:40 ,    14.7 , 0
28/04/2018 , 01:05 ,     2.2 , 0 ,     5.5 , Z , 09:40 ,    10.1 , 0
29/04/2018 , 22:10 ,    -0.5 , 0 ,     4.9 , Z , 01:40 ,     7.4 , 0
30/04/2018 , 00:10 ,    -0.6 , 0 ,     1.8 , Z , 10:30 ,     3.2 , 0
01/05/2018 , 23:05 ,    -1.6 , 0 ,     1.1 , Z , 11:40 ,     5.9 , 0
02/05/2018 , 02:35 ,    -1.7 , 0 ,    -0.1 , Z , 12:25 ,     1.4 , 0
03/05/2018 , 00:10 ,     0.9 , 0 ,     3.1 , Z , 19:20 ,     4.5 , 0
04/05/2018 , 20:05 ,     2.8 , 0 ,     3.7 , Z , 01:10 ,     4.4 , 0
