Codice richiesta,80749
Codice Stazione,S4063
Denominazione,COLLE DELL'AGNELLO
Localita',RICOVERINI
UTM X,339885 m
UTM Y,4949696 m
Quota,2685 m s.l.m.
Periodo, 2018-01-01 / 2021-12-05
Dati giornalieri di temperatura dell'aria
data,ora minimo (UTC),Tmin (gradi C),classe minimo,Tmed,classe media,ora massimo (UTC),Tmax,classe massimo
01/01/2018 , 23:59 ,   -11.2 , 0 ,    -7.9 , Z , 01:30 ,    -4.2 , 0
02/01/2018 , 01:05 ,   -12.3 , 0 ,    -9.0 , Z , 23:20 ,    -3.3 , 0
03/01/2018 , 22:25 ,    -6.5 , 0 ,    -3.9 , Z , 08:45 ,    -0.8 , 0
04/01/2018 , 00:05 ,    -6.1 , 0 ,    -2.5 , Z , 13:10 ,    -0.6 , 0
05/01/2018 , 06:35 ,    -4.1 , 0 ,    -1.7 , Z , 11:45 ,     1.8 , 0
06/01/2018 , 07:10 ,    -7.5 , 0 ,    -4.7 , Z , 08:45 ,    -1.2 , 0
07/01/2018 , 02:45 ,    -6.1 , 0 ,    -5.3 , Z , 11:05 ,    -4.2 , 0
08/01/2018 , 23:30 ,    -6.4 , 0 ,    -5.1 , Z , 12:05 ,    -3.5 , 0
09/01/2018 , 22:10 ,   -11.5 , 0 ,    -6.7 , Z , 11:40 ,    -0.8 , 0
10/01/2018 , 02:35 ,   -10.5 , 0 ,    -8.4 , Z , 08:40 ,    -5.9 , 0
11/01/2018 , 05:55 ,   -11.7 , 0 ,    -8.4 , Z , 12:05 ,    -3.6 , 0
12/01/2018 , 22:50 ,   -13.2 , 0 ,    -9.6 , Z , 13:00 ,    -6.0 , 0
13/01/2018 , 19:05 ,   -13.2 , 0 ,    -8.6 , Z , 12:25 ,     2.7 , 0
14/01/2018 , 00:35 ,   -13.2 , 0 ,    -9.4 , Z , 11:00 ,    -4.3 , 0
15/01/2018 , 00:20 ,   -10.1 , 0 ,    -9.0 , Z , 11:05 ,    -7.7 , 0
16/01/2018 , 00:05 ,    -8.5 , 0 ,    -5.7 , Z , 11:40 ,    -2.4 , 0
17/01/2018 , 17:50 ,   -16.4 , 0 ,   -11.3 , Z , 00:05 ,    -6.3 , 0
18/01/2018 , 00:35 ,   -13.2 , 0 ,    -6.7 , Z , 14:05 ,    -2.4 , 0
19/01/2018 , 18:15 ,   -13.3 , 0 ,    -8.5 , Z , 10:55 ,    -3.8 , 0
20/01/2018 , 04:55 ,   -14.7 , 0 ,    -9.1 , Z , 21:25 ,    -4.7 , 0
21/01/2018 , 06:55 ,    -7.8 , 0 ,    -3.7 , Z , 20:55 ,    -1.0 , 0
22/01/2018 , 22:40 ,    -5.2 , 0 ,    -2.1 , Z , 12:40 ,     0.7 , 0
