Codice richiesta,80749
Codice Stazione,S4063
Denominazione,COLLE DELL'AGNELLO
Localita',RICOVERINI
UTM X,339885 m
UTM Y,4949696 m
Quota,2685 m s.l.m.
Periodo, 2018-01-01 / 2021-12-05
Altezza neve giornaliera
data,neve al suolo (cm),neve fresca (cm)
01/01/2018 ,    51 ,     0
02/01/2018 ,    57 ,     6
03/01/2018 ,    50 ,     0
04/01/2018 ,    82 ,    34
05/01/2018 ,    68 ,     0
06/01/2018 ,    66 ,     0
07/01/2018 ,    66 ,     4
08/01/2018 ,    79 ,    14
09/01/2018 ,   109 ,    30
10/01/2018 ,   110 ,     4
11/01/2018 ,   105 ,     0
12/01/2018 ,   102 ,     0
13/01/2018 ,   102 ,     1
14/01/2018 ,   100 ,     0
15/01/2018 ,    96 ,     1
16/01/2018 ,    95 ,     1
17/01/2018 ,    99 ,    10
18/01/2018 ,   114 ,    27
19/01/2018 ,    91 ,     0
20/01/2018 ,    92 ,     5
21/01/2018 ,   104 ,    17
22/01/2018 ,    87 ,     0
23/01/2018 ,    86 ,     0
24/01/2018 ,    86 ,     0
25/01/2018 ,    85 ,     0
26/01/2018 ,    86 ,     5
27/01/2018 ,    95 ,     9
28/01/2018 ,    91 ,     0
29/01/2018 ,    91 ,     0
30/01/2018 ,    90 ,     0
31/01/2018 ,    89 ,     0
01/02/2018 ,    85 ,     0
02/02/2018 ,    85 ,     0
03/02/2018 ,    83 ,     0
04/02/2018 ,    82 ,     0
05/02/2018 ,    87 ,     5
06/02/2018 ,    86 ,     0
07/02/2018 ,    98 ,    13
08/02/2018 ,    95 ,     0
09/02/2018 ,    92 ,     0
10/02/2018 ,    90 ,     0
11/02/2018 ,    89 ,     0
12/02/2018 ,    84 ,     0
13/02/2018 ,    82 ,     0
14/02/2018 ,    82 ,     0
15/02/2018 ,    82 ,     0
16/02/2018 ,    82 ,     0
17/02/2018 ,    84 ,     2
18/02/2018 ,    92 ,    12
19/02/2018 ,    92 ,     0
20/02/2018 ,    90 ,     0
21/02/2018 ,   108 ,    18
22/02/2018 ,   109 ,     3
23/02/2018 ,   125 ,    30
24/02/2018 ,   148 ,    24
25/02/2018 ,   143 ,     3
26/02/2018 ,   139 ,     4
27/02/2018 ,   135 ,     0
28/02/2018 ,   130 ,     0
01/03/2018 ,   149 ,    28
02/03/2018 ,   150 ,    12
03/03/2018 ,   148 ,     1
04/03/2018 ,   165 ,    20
05/03/2018 ,   164 ,     0
06/03/2018 ,   165 ,     1
07/03/2018 ,   161 ,     0
08/03/2018 ,   157 ,     0
09/03/2018 ,   152 ,     0
10/03/2018 ,   154 ,     2
11/03/2018 ,   171 ,    17
12/03/2018 ,   191 ,    21
13/03/2018 ,   179 ,     0
14/03/2018 ,   174 ,     0
15/03/2018 ,   176 ,     2
16/03/2018 ,   188 ,    17
17/03/2018 ,   188 ,     5
18/03/2018 ,   194 ,     9
19/03/2018 ,   198 ,    14
20/03/2018 ,   192 ,     0
21/03/2018 ,   196 ,     5
22/03/2018 ,   190 ,     0
23/03/2018 ,   182 ,     0
24/03/2018 ,   180 ,     0
25/03/2018 ,   179 ,     0
26/03/2018 ,   176 ,     0
27/03/2018 ,   174 ,     0
28/03/2018 ,   173 ,     0
29/03/2018 ,   168 ,     0
30/03/2018 ,   171 ,     0
31/03/2018 ,   187 ,    16
01/04/2018 ,   175 ,     0
02/04/2018 ,   171 ,     0
03/04/2018 ,   171 ,     4
04/04/2018 ,   186 ,    15
05/04/2018 ,   200 ,    20
06/04/2018 ,   191 ,     0
07/04/2018 ,   179 ,     0
08/04/2018 ,   177 ,     0
09/04/2018 ,   190 ,    13
10/04/2018 ,   185 ,     0
11/04/2018 ,   195 ,    20
12/04/2018 ,   211 ,    22
13/04/2018 ,   233 ,    26
14/04/2018 ,   225 ,     0
15/04/2018 ,   217 ,     0
16/04/2018 ,   214 ,     0
17/04/2018 ,   206 ,     0
18/04/2018 ,   200 ,     0
19/04/2018 ,   192 ,     0
20/04/2018 ,   187 ,     0
21/04/2018 ,   181 ,     0
22/04/2018 ,   177 ,     0
23/04/2018 ,   176 ,     0
24/04/2018 ,   167 ,     0
25/04/2018 ,   164 ,     0
26/04/2018 ,   159 ,     0
27/04/2018 ,   154 ,     0
28/04/2018 ,   149 ,     0
29/04/2018 ,   149 ,     0
30/04/2018 ,   149 ,     0
01/05/2018 ,   148 ,     3
02/05/2018 ,   155 ,     7
03/05/2018 ,   153 ,     6
04/05/2018 ,   180 ,    27
05/05/2018 ,   178 ,     0
06/05/2018 ,   173 ,     0
07/05/2018 ,   168 ,     0
08/05/2018 ,   164 ,     0
09/05/2018 ,   158 ,     0
10/05/2018 ,   156 ,     5
11/05/2018 ,   155 ,     0
12/05/2018 ,   148 ,     0
13/05/2018 ,   145 ,     0
14/05/2018 ,   160 ,    15
15/05/2018 ,   176 ,    21
16/05/2018 ,   158 ,     0
17/05/2018 ,   156 ,     0
18/05/2018 ,   149 ,     1
19/05/2018 ,   146 ,     0
20/05/2018 ,   149 ,     5
21/05/2018 ,   152 ,     4
22/05/2018 ,   150 ,     0
23/05/2018 ,   147 ,     0
24/05/2018 ,   145 ,     0
25/05/2018 ,   137 ,     0
26/05/2018 ,   134 ,     0
27/05/2018 ,   128 ,     0
28/05/2018 ,   122 ,     0
29/05/2018 ,   119 ,     0
30/05/2018 ,   110 ,     0
31/05/2018 ,   105 ,     0
01/06/2018 ,   100 ,     1
02/06/2018 ,    96 ,     0
03/06/2018 ,    93 ,     0
04/06/2018 ,    86 ,     0
05/06/2018 ,    81 ,     0
06/06/2018 ,    79 ,     0
07/06/2018 ,    77 ,     0
08/06/2018 ,    72 ,     0
09/06/2018 ,    64 ,     0
10/06/2018 ,    58 ,     0
11/06/2018 ,    48 ,     0
12/06/2018 ,    40 ,     0
13/06/2018 ,    37 ,     0
14/06/2018 ,    30 ,     0
15/06/2018 ,    18 ,     0
16/06/2018 ,    12 ,     0
17/06/2018 ,     7 ,     0
18/06/2018 ,     3 ,     0
19/06/2018 ,     3 ,     0
20/06/2018 ,     2 ,     0
21/06/2018 ,     0 ,     0
22/06/2018 ,     0 ,     0
23/06/2018 ,     0 ,     0
24/06/2018 ,     0 ,     0
25/06/2018 ,     0 ,     0
26/06/2018 ,     0 ,     0
27/06/2018 ,     0 ,     0
28/06/2018 ,     0 ,     0
29/06/2018 ,     0 ,     0
30/06/2018 ,     0 ,     0
01/07/2018 ,     0 ,     0
02/07/2018 ,     0 ,     0
03/07/2018 ,     0 ,     0
04/07/2018 ,     0 ,     0
05/07/2018 ,     0 ,     0
06/07/2018 ,     0 ,     0
07/07/2018 ,     0 ,     0
08/07/2018 ,     0 ,     0
09/07/2018 ,     0 ,     0
10/07/2018 ,     0 ,     0
11/07/2018 ,     0 ,     0
12/07/2018 ,     0 ,     0
13/07/2018 ,     0 ,     0
14/07/2018 ,     0 ,     0
15/07/2018 ,     0 ,     0
16/07/2018 ,     0 ,     0
17/07/2018 ,     0 ,     0
18/07/2018 ,     0 ,     0
19/07/2018 ,     0 ,     0
20/07/2018 ,     0 ,     0
24/07/2018 ,     0 ,     0
25/07/2018 ,     0 ,     0
26/07/2018 ,     0 ,     0
27/07/2018 ,     0 ,     0
28/07/2018 ,     0 ,     0
29/07/2018 ,     0 ,     0
30/07/2018 ,     0 ,     0
31/07/2018 ,     0 ,     0
01/08/2018 ,     0 ,     0
02/08/2018 ,     0 ,     0
03/08/2018 ,     0 ,     0
11/08/2018 ,     0 ,     0
12/08/2018 ,     0 ,     0
13/08/2018 ,     0 ,     0
14/08/2018 ,     0 ,     0
15/08/2018 ,     0 ,     0
16/08/2018 ,     0 ,     0
17/08/2018 ,     0 ,     0
18/08/2018 ,     0 ,     0
19/08/2018 ,     0 ,     0
20/08/2018 ,     0 ,     0
21/08/2018 ,     0 ,     0
22/08/2018 ,     0 ,     0
23/08/2018 ,     0 ,     0
24/08/2018 ,     0 ,     0
25/08/2018 ,     0 ,     0
26/08/2018 ,     0 ,     0
27/08/2018 ,     0 ,     0
28/08/2018 ,     0 ,     0
29/08/2018 ,     0 ,     0
30/08/2018 ,     0 ,     0
31/08/2018 ,     0 ,     0
01/09/2018 ,     0 ,     0
02/09/2018 ,     0 ,     0
03/09/2018 ,     0 ,     0
04/09/2018 ,     0 ,     0
05/09/2018 ,     0 ,     0
06/09/2018 ,     0 ,     0
07/09/2018 ,     0 ,     0
08/09/2018 ,     0 ,     0
09/09/2018 ,     0 ,     0
10/09/2018 ,     0 ,     0
11/09/2018 ,     0 ,     0
12/09/2018 ,     0 ,     0
13/09/2018 ,     0 ,     0
14/09/2018 ,     0 ,     0
16/09/2018 ,     0 ,     0
17/09/2018 ,     0 ,     0
18/09/2018 ,     0 ,     0
19/09/2018 ,     0 ,     0
20/09/2018 ,     0 ,     0
21/09/2018 ,     0 ,     0
25/09/2018 ,     0 ,     0
26/09/2018 ,     0 ,     0
27/09/2018 ,     0 ,     0
28/09/2018 ,     0 ,     0
29/09/2018 ,     0 ,     0
30/09/2018 ,     0 ,     0
01/10/2018 ,    15 ,    15
02/10/2018 ,     6 ,     0
03/10/2018 ,     4 ,     0
04/10/2018 ,     3 ,     0
05/10/2018 ,     2 ,     0
06/10/2018 ,     4 ,     4
07/10/2018 ,     3 ,     0
08/10/2018 ,     5 ,     1
09/10/2018 ,     4 ,     0
10/10/2018 ,     5 ,     1
11/10/2018 ,     4 ,     1
12/10/2018 ,     4 ,     1
13/10/2018 ,     7 ,     3
14/10/2018 ,     6 ,     2
15/10/2018 ,     6 ,     0
16/10/2018 ,     6 ,     0
17/10/2018 ,     6 ,     0
18/10/2018 ,     6 ,     0
19/10/2018 ,     6 ,     0
20/10/2018 ,     4 ,     0
21/10/2018 ,     3 ,     0
22/10/2018 ,     3 ,     0
23/10/2018 ,     2 ,     0
24/10/2018 ,     1 ,     0
25/10/2018 ,     0 ,     0
26/10/2018 ,     0 ,     0
27/10/2018 ,    14 ,    14
28/10/2018 ,    26 ,    12
29/10/2018 ,    27 ,     5
30/10/2018 ,    58 ,    32
31/10/2018 ,    59 ,     7
01/11/2018 ,    87 ,    28
02/11/2018 ,    79 ,     0
03/11/2018 ,    82 ,     3
04/11/2018 ,    83 ,     3
05/11/2018 ,    92 ,     9
06/11/2018 ,    84 ,     0
07/11/2018 ,    92 ,    10
08/11/2018 ,    92 ,     0
09/11/2018 ,    92 ,     0
10/11/2018 ,    92 ,     4
11/11/2018 ,    90 ,     2
12/11/2018 ,    88 ,     0
13/11/2018 ,    86 ,     0
14/11/2018 ,    85 ,     0
15/11/2018 ,    85 ,     0
16/11/2018 ,    85 ,     0
17/11/2018 ,    85 ,     0
18/11/2018 ,    95 ,    14
19/11/2018 ,    91 ,     0
20/11/2018 ,   104 ,    14
21/11/2018 ,   100 ,     8
22/11/2018 ,   100 ,     4
23/11/2018 ,    97 ,     0
24/11/2018 ,   129 ,    35
25/11/2018 ,   124 ,     0
26/11/2018 ,   124 ,     5
27/11/2018 ,   108 ,     0
28/11/2018 ,    98 ,     0
29/11/2018 ,    97 ,     0
30/11/2018 ,    96 ,     0
01/12/2018 ,   104 ,     8
02/12/2018 ,    99 ,     0
03/12/2018 ,    90 ,     0
04/12/2018 ,    94 ,     6
05/12/2018 ,    88 ,     0
06/12/2018 ,    88 ,     0
07/12/2018 ,    87 ,     0
08/12/2018 ,    85 ,     0
09/12/2018 ,    84 ,     0
10/12/2018 ,   115 ,    20
11/12/2018 ,    84 ,     5
12/12/2018 ,    84 ,     0
13/12/2018 ,    84 ,     0
14/12/2018 ,    84 ,     1
15/12/2018 ,    82 ,     0
16/12/2018 ,    85 ,     4
17/12/2018 ,    86 , 
18/12/2018 ,    85 ,     0
19/12/2018 ,    82 ,     0
20/12/2018 ,   109 ,    31
21/12/2018 ,   105 ,     0
22/12/2018 ,    85 ,     0
23/12/2018 ,    82 ,     0
24/12/2018 ,    81 ,     0
25/12/2018 ,    81 ,     0
26/12/2018 ,    80 ,     0
27/12/2018 ,    80 ,     0
28/12/2018 ,    80 ,     0
29/12/2018 ,    80 ,     0
30/12/2018 ,    80 ,     0
31/12/2018 ,    79 ,     0
01/01/2019 ,    77 ,     0
02/01/2019 ,    77 ,     0
03/01/2019 ,    76 ,     0
04/01/2019 ,    76 ,     0
05/01/2019 ,    76 ,     0
06/01/2019 ,    76 ,     0
07/01/2019 ,    73 ,     0
08/01/2019 ,    73 ,     0
09/01/2019 ,    73 ,     0
10/01/2019 ,    73 ,     0
11/01/2019 ,    73 ,     0
12/01/2019 ,    73 ,     0
13/01/2019 ,    72 ,     0
14/01/2019 ,    72 ,     0
15/01/2019 ,    72 ,     0
16/01/2019 ,    71 ,     0
17/01/2019 ,    71 ,     0
18/01/2019 ,    71 ,     0
19/01/2019 ,    75 ,     4
20/01/2019 ,    70 ,     0
21/01/2019 ,    69 ,     0
22/01/2019 ,    69 ,     0
23/01/2019 ,    69 ,     0
24/01/2019 ,    79 ,    11
25/01/2019 ,    74 ,     0
26/01/2019 ,    73 ,     0
27/01/2019 ,    73 ,     0
28/01/2019 ,    73 ,     0
29/01/2019 ,    73 ,     0
30/01/2019 ,    72 ,     0
31/01/2019 ,    72 ,     1
01/02/2019 ,    97 ,    25
02/02/2019 ,   112 ,    17
03/02/2019 ,   117 ,     5
04/02/2019 ,   111 ,     0
05/02/2019 ,   106 ,     0
06/02/2019 ,   100 ,     0
07/02/2019 ,    99 ,     0
08/02/2019 ,    91 ,     0
09/02/2019 ,    89 ,     1
10/02/2019 ,    74 ,     0
11/02/2019 ,    86 ,    13
12/02/2019 ,    88 ,     2
13/02/2019 ,    84 ,     0
14/02/2019 ,    81 ,     0
15/02/2019 ,    81 ,     0
16/02/2019 ,    79 ,     0
17/02/2019 ,    79 ,     0
18/02/2019 ,    79 ,     0
19/02/2019 ,    79 ,     0
20/02/2019 ,    78 ,     0
21/02/2019 ,    77 ,     0
22/02/2019 ,    77 ,     0
23/02/2019 ,    77 ,     0
24/02/2019 ,    77 ,     0
25/02/2019 ,    77 ,     0
26/02/2019 ,    77 ,     0
27/02/2019 ,    75 ,     0
28/02/2019 ,    74 ,     0
01/03/2019 ,    74 ,     0
02/03/2019 ,    74 ,     0
03/03/2019 ,    74 ,     0
04/03/2019 ,    74 ,     0
05/03/2019 ,    76 ,     2
