AnnoS;AteneoCOD;AteneoNOME;SESSO;Lau
2020;101;Torino;F;9109
2020;101;Torino;M;5845
2020;102;Torino Politecnico;F;2301
2020;102;Torino Politecnico;M;5363
2020;201;Piemonte Orientale;F;1372
2020;201;Piemonte Orientale;M;748
2020;401;Bra Scienze Gastronomiche;F;66
2020;401;Bra Scienze Gastronomiche;M;48
2020;701;Aosta;F;188
2020;701;Aosta;M;78
2020;1001;Genova;F;3238
2020;1001;Genova;M;2470
2020;1201;Castellanza LIUC;F;318
2020;1201;Castellanza LIUC;M;467
2020;1202;Insubria;F;1149
2020;1202;Insubria;M;895
2020;1301;Novedrate e-Campus - telematica;F;2710
2020;1301;Novedrate e-Campus - telematica;M;2131
2020;1501;Milano;F;7074
2020;1501;Milano;M;4622
2020;1502;Milano Politecnico;F;4471
2020;1502;Milano Politecnico;M;7780
2020;1503;Milano Bocconi;F;2057
2020;1503;Milano Bocconi;M;2721
2020;1504;Milano Cattolica;F;7545
2020;1504;Milano Cattolica;M;3741
2020;1505;Milano IULM;F;1274
2020;1505;Milano IULM;M;471
2020;1508;Milano San Raffaele;F;451
2020;1508;Milano San Raffaele;M;229
2020;1509;Milano Bicocca;F;4726
2020;1509;Milano Bicocca;M;2776
2020;1510;Rozzano (MI) Humanitas University;F;118
2020;1510;Rozzano (MI) Humanitas University;M;64
2020;1601;Bergamo;F;2556
2020;1601;Bergamo;M;1438
2020;1701;Brescia;F;1151
2020;1701;Brescia;M;1340
2020;1801;Pavia;F;2745
2020;1801;Pavia;M;1974
2020;2101;Bolzano;F;579
2020;2101;Bolzano;M;246
2020;2201;Trento;F;2007
2020;2201;Trento;M;1857
2020;2301;Verona;F;3473
2020;2301;Verona;M;1736
2020;2701;Venezia Cà Foscari;F;3568
2020;2701;Venezia Cà Foscari;M;1814
2020;2702;Venezia Iuav;F;629
2020;2702;Venezia Iuav;M;522
2020;2801;Padova;F;7510
2020;2801;Padova;M;6050
2020;3001;Udine;F;1695
2020;3001;Udine;M;1392
2020;3201;Trieste;F;1704
2020;3201;Trieste;M;1286
2020;3401;Parma;F;3060
2020;3401;Parma;M;2155
2020;3601;Modena e Reggio Emilia;F;2946
2020;3601;Modena e Reggio Emilia;M;2211
2020;3701;Bologna;F;10852
2020;3701;Bologna;M;8230
2020;3801;Ferrara;F;2372
2020;3801;Ferrara;M;1533
2020;4101;Urbino;F;1801
2020;4101;Urbino;M;964
2020;4201;Marche;F;1433
2020;4201;Marche;M;1545
2020;4301;Macerata;F;1551
2020;4301;Macerata;M;506
2020;4302;Camerino;F;469
2020;4302;Camerino;M;426
2020;4801;Firenze;F;5657
2020;4801;Firenze;M;4111
2020;4804;Firenze IUL - telematica;F;50
2020;4804;Firenze IUL - telematica;M;16
2020;5001;Pisa;F;3813
2020;5001;Pisa;M;3794
2020;5201;Siena;F;1755
2020;5201;Siena;M;1188
2020;5202;Siena Stranieri;F;380
2020;5202;Siena Stranieri;M;69
2020;5401;Perugia;F;2535
2020;5401;Perugia;M;1783
2020;5403;Perugia Stranieri;F;184
2020;5403;Perugia Stranieri;M;64
2020;5601;Tuscia;F;745
2020;5601;Tuscia;M;798
2020;5801;Roma La Sapienza;F;10489
2020;5801;Roma La Sapienza;M;7565
2020;5802;Roma Tor Vergata;F;2864
2020;5802;Roma Tor Vergata;M;2441
2020;5803;Roma LUMSA;F;1021
2020;5803;Roma LUMSA;M;376
2020;5805;Roma LUISS;F;1368
2020;5805;Roma LUISS;M;1692
2020;5806;Roma Foro Italico;F;164
2020;5806;Roma Foro Italico;M;403
2020;5807;Roma Tre;F;3594
2020;5807;Roma Tre;M;2156
2020;5808;Roma Biomedico;F;355
2020;5808;Roma Biomedico;M;182
2020;5809;Roma UNINT;F;499
2020;5809;Roma UNINT;M;108
2020;5810;Roma Marconi - telematica;F;1027
2020;5810;Roma Marconi - telematica;M;942
2020;5811;Roma UNITELMA - telematica;F;185
2020;5811;Roma UNITELMA - telematica;M;201
2020;5812;Roma Europea;F;221
2020;5812;Roma Europea;M;89
2020;5813;Roma UNINETTUNO - telematica;F;243
2020;5813;Roma UNINETTUNO - telematica;M;332
2020;5814;Roma  Mercatorum - telematica;F;215
2020;5814;Roma  Mercatorum - telematica;M;714
2020;5816;Roma San Raffaele - telematica;F;612
2020;5816;Roma San Raffaele - telematica;M;767
2020;5817;Roma Link Campus;F;96
2020;5817;Roma Link Campus;M;263
2020;6001;Cassino;F;831
2020;6001;Cassino;M;560
2020;6201;Sannio;F;431
2020;6201;Sannio;M;362
2020;6202;Benevento Giustino Fortunato - telematica;F;158
2020;6202;Benevento Giustino Fortunato - telematica;M;188
2020;6301;Napoli Federico II;F;7324
2020;6301;Napoli Federico II;M;5740
2020;6302;Napoli Parthenope;F;1005
2020;6302;Napoli Parthenope;M;1158
2020;6303;Napoli L'Orientale;F;1622
2020;6303;Napoli L'Orientale;M;374
2020;6304;Napoli Benincasa;F;1698
2020;6304;Napoli Benincasa;M;257
2020;6306;Napoli Vanvitelli;F;2593
2020;6306;Napoli Vanvitelli;M;1641
2020;6307;Napoli Pegaso - telematica;F;5086
2020;6307;Napoli Pegaso - telematica;M;6292
2020;6501;Salerno;F;3303
2020;6501;Salerno;M;2543
2020;6601;L'Aquila;F;1756
2020;6601;L'Aquila;M;1273
2020;6701;Teramo;F;480
2020;6701;Teramo;M;426
2020;6901;Chieti e Pescara;F;2919
2020;6901;Chieti e Pescara;M;1498
2020;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;F;9
2020;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;M;7
2020;7001;Molise;F;707
2020;7001;Molise;M;442
2020;7101;Foggia;F;1234
2020;7101;Foggia;M;659
2020;7201;Bari;F;4694
2020;7201;Bari;M;2542
2020;7202;Bari Politecnico;F;658
2020;7202;Bari Politecnico;M;1203
2020;7203;Casamassima - G.Degennaro;F;137
2020;7203;Casamassima - G.Degennaro;M;204
2020;7501;Salento;F;1780
2020;7501;Salento;M;935
2020;7601;Basilicata;F;496
2020;7601;Basilicata;M;357
2020;7801;Calabria;F;2590
2020;7801;Calabria;M;1784
2020;7901;Catanzaro;F;597
2020;7901;Catanzaro;M;376
2020;8001;Reggio Calabria;F;370
2020;8001;Reggio Calabria;M;378
2020;8003;Reggio Calabria - Dante Alighieri;F;136
2020;8003;Reggio Calabria - Dante Alighieri;M;26
2020;8201;Palermo;F;4627
2020;8201;Palermo;M;3000
2020;8301;Messina;F;2486
2020;8301;Messina;M;1383
2020;8601;Enna KORE;F;677
2020;8601;Enna KORE;M;304
2020;8701;Catania;F;3837
2020;8701;Catania;M;2590
2020;9001;Sassari;F;1537
2020;9001;Sassari;M;776
2020;9201;Cagliari;F;2266
2020;9201;Cagliari;M;1460
2019;101;Torino;F;8537
2019;101;Torino;M;5370
2019;102;Torino Politecnico;F;2261
2019;102;Torino Politecnico;M;5258
2019;201;Piemonte Orientale;F;1539
2019;201;Piemonte Orientale;M;824
2019;401;Bra Scienze Gastronomiche;F;44
2019;401;Bra Scienze Gastronomiche;M;59
2019;701;Aosta;F;207
2019;701;Aosta;M;59
2019;1001;Genova;F;3320
2019;1001;Genova;M;2474
2019;1201;Castellanza LIUC;F;226
2019;1201;Castellanza LIUC;M;436
2019;1202;Insubria;F;1124
2019;1202;Insubria;M;746
2019;1301;Novedrate e-Campus - telematica;F;1485
2019;1301;Novedrate e-Campus - telematica;M;1262
2019;1501;Milano;F;7192
2019;1501;Milano;M;4684
2019;1502;Milano Politecnico;F;4450
2019;1502;Milano Politecnico;M;7838
2019;1503;Milano Bocconi;F;2168
2019;1503;Milano Bocconi;M;2548
2019;1504;Milano Cattolica;F;6799
2019;1504;Milano Cattolica;M;3546
2019;1505;Milano IULM;F;1090
2019;1505;Milano IULM;M;398
2019;1508;Milano San Raffaele;F;420
2019;1508;Milano San Raffaele;M;225
2019;1509;Milano Bicocca;F;4461
2019;1509;Milano Bicocca;M;2632
2019;1510;Rozzano (MI) Humanitas University;F;51
2019;1510;Rozzano (MI) Humanitas University;M;36
2019;1601;Bergamo;F;2481
2019;1601;Bergamo;M;1389
