AnnoS;CorsoTIPO;ClasseNUMERO;ClasseNOME;SESSO;Lau
2020;Corsi di Laurea - vecchio ordinamento;18-bis;Scienze della Formazione Primaria - Quadriennale;F;143
2020;Corsi di Laurea - vecchio ordinamento;18-bis;Scienze della Formazione Primaria - Quadriennale;M;6
2020;Corsi di Laurea - vecchio ordinamento;31-bis;Scienze giuridiche - Quinquennale;F;6
2020;Corsi di Laurea - vecchio ordinamento;31-bis;Scienze giuridiche - Quinquennale;M;2
2020;Corsi di Laurea - vecchio ordinamento;99999;Classe non definita;F;375
2020;Corsi di Laurea - vecchio ordinamento;99999;Classe non definita;M;265
2020;Laurea  - dm 509/99;1;Biotecnologie;F;10
2020;Laurea  - dm 509/99;1;Biotecnologie;M;4
2020;Laurea  - dm 509/99;2;Scienze dei servizi giuridici;F;4
2020;Laurea  - dm 509/99;2;Scienze dei servizi giuridici;M;10
2020;Laurea  - dm 509/99;3;Scienze della mediazione linguistica;F;17
2020;Laurea  - dm 509/99;3;Scienze della mediazione linguistica;M;6
2020;Laurea  - dm 509/99;4;Scienze dell'architettura e dell'ingegneria edile;F;24
2020;Laurea  - dm 509/99;4;Scienze dell'architettura e dell'ingegneria edile;M;36
2020;Laurea  - dm 509/99;5;Lettere;F;54
2020;Laurea  - dm 509/99;5;Lettere;M;14
2020;Laurea  - dm 509/99;6;Scienze del servizio sociale;F;19
2020;Laurea  - dm 509/99;6;Scienze del servizio sociale;M;2
2020;Laurea  - dm 509/99;7;Urbanistica e scienze della pianificazione territoriale e ambientale;F;2
2020;Laurea  - dm 509/99;7;Urbanistica e scienze della pianificazione territoriale e ambientale;M;4
2020;Laurea  - dm 509/99;8;Ingegneria civile e ambientale;F;20
2020;Laurea  - dm 509/99;8;Ingegneria civile e ambientale;M;45
2020;Laurea  - dm 509/99;9;Ingegneria dell'informazione;F;9
2020;Laurea  - dm 509/99;9;Ingegneria dell'informazione;M;93
2020;Laurea  - dm 509/99;10;Ingegneria industriale;F;9
2020;Laurea  - dm 509/99;10;Ingegneria industriale;M;115
2020;Laurea  - dm 509/99;11;Lingue e culture moderne;F;61
2020;Laurea  - dm 509/99;11;Lingue e culture moderne;M;16
2020;Laurea  - dm 509/99;12;Scienze biologiche;F;48
2020;Laurea  - dm 509/99;12;Scienze biologiche;M;16
2020;Laurea  - dm 509/99;13;Scienze dei beni culturali;F;47
2020;Laurea  - dm 509/99;13;Scienze dei beni culturali;M;7
2020;Laurea  - dm 509/99;14;Scienze della comunicazione;F;39
2020;Laurea  - dm 509/99;14;Scienze della comunicazione;M;26
