AnnoS;GruppoNOME;SESSO;lau
2020;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4367
2020;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4475
2020;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;7859
2020;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;9456
2020;Arte e Design                                                                                                                                                                                                                                             ;F;7518
2020;Arte e Design                                                                                                                                                                                                                                             ;M;3181
2020;Economico                                                                                                                                                                                                                                                 ;F;28023
2020;Economico                                                                                                                                                                                                                                                 ;M;31359
2020;Educazione e Formazione                                                                                                                                                                                                                                   ;F;18350
2020;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1444
2020;Giuridico                                                                                                                                                                                                                                                 ;F;11312
2020;Giuridico                                                                                                                                                                                                                                                 ;M;7923
2020;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;742
2020;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4163
2020;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;10466
2020;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;30785
2020;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10158
2020;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5945
2020;Linguistico                                                                                                                                                                                                                                               ;F;19043
2020;Linguistico                                                                                                                                                                                                                                               ;M;3500
2020;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;28065
2020;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13518
2020;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;17419
2020;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10656
2020;Psicologico                                                                                                                                                                                                                                               ;F;12712
2020;Psicologico                                                                                                                                                                                                                                               ;M;2891
2020;Scientifico                                                                                                                                                                                                                                               ;F;17358
2020;Scientifico                                                                                                                                                                                                                                               ;M;12492
2020;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2992
2020;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;6678
2019;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4575
2019;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4675
2019;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;8480
2019;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;10385
2019;Arte e Design                                                                                                                                                                                                                                             ;F;7822
2019;Arte e Design                                                                                                                                                                                                                                             ;M;3080
2019;Economico                                                                                                                                                                                                                                                 ;F;26676
2019;Economico                                                                                                                                                                                                                                                 ;M;29828
2019;Educazione e Formazione                                                                                                                                                                                                                                   ;F;16518
2019;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1294
2019;Giuridico                                                                                                                                                                                                                                                 ;F;11665
2019;Giuridico                                                                                                                                                                                                                                                 ;M;8116
2019;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;652
2019;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;3697
2019;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;10081
2019;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;30701
2019;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10556
2019;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;6026
2019;Linguistico                                                                                                                                                                                                                                               ;F;18423
2019;Linguistico                                                                                                                                                                                                                                               ;M;3344
2019;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;29069
2019;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13920
2019;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;17222
2019;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10721
2019;Psicologico                                                                                                                                                                                                                                               ;F;12201
2019;Psicologico                                                                                                                                                                                                                                               ;M;2869
2019;Scientifico                                                                                                                                                                                                                                               ;F;16799
2019;Scientifico                                                                                                                                                                                                                                               ;M;12147
2019;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2787
2019;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;5971
2018;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4432
2018;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4485
2018;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;8982
2018;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;10893
2018;Arte e Design                                                                                                                                                                                                                                             ;F;6934
2018;Arte e Design                                                                                                                                                                                                                                             ;M;3021
2018;Economico                                                                                                                                                                                                                                                 ;F;26256
2018;Economico                                                                                                                                                                                                                                                 ;M;27931
2018;Educazione e Formazione                                                                                                                                                                                                                                   ;F;15056
2018;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1193
2018;Giuridico                                                                                                                                                                                                                                                 ;F;12337
2018;Giuridico                                                                                                                                                                                                                                                 ;M;8421
2018;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;594
2018;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;3352
2018;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;9116
2018;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;28494
2018;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10035
2018;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5717
2018;Linguistico                                                                                                                                                                                                                                               ;F;17466
2018;Linguistico                                                                                                                                                                                                                                               ;M;3183
2018;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;29297
2018;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13858
2018;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;16070
2018;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10921
2018;Psicologico                                                                                                                                                                                                                                               ;F;12269
2018;Psicologico                                                                                                                                                                                                                                               ;M;2870
2018;Scientifico                                                                                                                                                                                                                                               ;F;15845
2018;Scientifico                                                                                                                                                                                                                                               ;M;11609
2018;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2221
2018;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;4809
2017;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4138
2017;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4161
2017;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;9534
2017;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;11697
2017;Arte e Design                                                                                                                                                                                                                                             ;F;6949
2017;Arte e Design                                                                                                                                                                                                                                             ;M;2870
2017;Economico                                                                                                                                                                                                                                                 ;F;25704
2017;Economico                                                                                                                                                                                                                                                 ;M;26787
2017;Educazione e Formazione                                                                                                                                                                                                                                   ;F;14473
2017;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1047
2017;Giuridico                                                                                                                                                                                                                                                 ;F;12657
2017;Giuridico                                                                                                                                                                                                                                                 ;M;8980
2017;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;468
2017;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;2876
2017;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;8159
2017;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;26002
2017;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10116
2017;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5371
2017;Linguistico                                                                                                                                                                                                                                               ;F;17139
2017;Linguistico                                                                                                                                                                                                                                               ;M;3150
2017;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;29005
2017;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13598
2017;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;15602
2017;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10325
2017;Psicologico                                                                                                                                                                                                                                               ;F;12123
2017;Psicologico                                                                                                                                                                                                                                               ;M;2823
2017;Scientifico                                                                                                                                                                                                                                               ;F;15506
2017;Scientifico                                                                                                                                                                                                                                               ;M;10565
2017;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1961
2017;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;4436
2016;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3816
2016;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3834
2016;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;9796
2016;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;12147
2016;Arte e Design                                                                                                                                                                                                                                             ;F;7060
2016;Arte e Design                                                                                                                                                                                                                                             ;M;2869
2016;Economico                                                                                                                                                                                                                                                 ;F;25535
2016;Economico                                                                                                                                                                                                                                                 ;M;25848
2016;Educazione e Formazione                                                                                                                                                                                                                                   ;F;13142
2016;Educazione e Formazione                                                                                                                                                                                                                                   ;M;963
2016;Giuridico                                                                                                                                                                                                                                                 ;F;12851
2016;Giuridico                                                                                                                                                                                                                                                 ;M;9297
2016;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;483
2016;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;2760
2016;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;7582
2016;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;24993
2016;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10411
2016;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5468
2016;Linguistico                                                                                                                                                                                                                                               ;F;16067
2016;Linguistico                                                                                                                                                                                                                                               ;M;2880
2016;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;29021
2016;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13253
2016;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;15429
2016;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10076
2016;Psicologico                                                                                                                                                                                                                                               ;F;12280
2016;Psicologico                                                                                                                                                                                                                                               ;M;2743
2016;Scientifico                                                                                                                                                                                                                                               ;F;15033
2016;Scientifico                                                                                                                                                                                                                                               ;M;10587
2016;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1965
2016;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3736
2015;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3306
2015;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3355
2015;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;10095
2015;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;12574
2015;Arte e Design                                                                                                                                                                                                                                             ;F;7144
2015;Arte e Design                                                                                                                                                                                                                                             ;M;2776
2015;Economico                                                                                                                                                                                                                                                 ;F;25291
