specie,colore,n_arti,peso,altezza,larghezza
Robby,viola,20.0,3.87,14.77,73.22
Robby,viola,27.0,3.15,28.19,88.44
Robby,viola,25.0,4.35,12.05,76.74
Robby,blu,20.0,3.76,9.9,81.37
Robby,blu,28.0,2.86,19.87,84.65
Robby,viola,24.0,3.14,13.12,81.13
Robby,blu,21.0,3.11,11.97,86.72
Robby,rosso,21.0,3.97,26.51,62.03
Robby,blu,20.0,3.22,24.74,68.19
Robby,blu,27.0,3.02,18.94,87.42
Robby,blu,27.0,3.72,12.75,80.61
Robby,blu,25.0,3.26,,84.69
Robby,rosso,28.0,2.97,22.91,98.09
Robby,viola,25.0,3.09,13.17,75.86
Robby,viola,26.0,3.44,15.42,80.75
Robby,viola,21.0,2.5,17.0,102.19
Robby,viola,23.0,3.12,12.13,96.34
Robby,blu,26.0,3.53,16.05,112.97
Robby,viola,23.0,3.6,18.81,101.01
Robby,rosso,20.0,3.04,16.55,77.28
Robby,rosso,24.0,3.71,15.54,95.74
Robby,blu,28.0,3.19,14.88,86.47
Robby,blu,21.0,3.36,15.64,74.47
Robby,viola,28.0,3.35,15.85,87.0
Robby,viola,24.0,2.77,18.18,104.8
Robby,rosso,28.0,3.26,19.94,77.11
Robby,rosso,20.0,3.85,22.13,76.35
Robby,rosso,25.0,3.57,16.55,101.9
Robby,viola,21.0,4.38,19.83,73.43
Robby,viola,23.0,3.46,15.39,76.81
Robby,rosso,24.0,2.99,26.01,91.96
Robby,rosso,24.0,3.28,17.27,78.08
Robby,rosso,29.0,4.15,16.01,91.87
Robby,blu,20.0,3.29,18.35,77.76
Robby,viola,26.0,3.46,22.58,87.33
Robby,blu,20.0,3.14,14.08,72.77
Robby,rosso,27.0,3.67,18.8,67.99
Robby,rosso,22.0,2.65,13.85,61.28
Robby,blu,,3.36,18.41,93.07
Robby,blu,28.0,3.8,18.69,77.29
Robby,rosso,25.0,4.55,17.93,80.0
Robby,viola,24.0,3.56,15.6,78.81
Robby,blu,24.0,3.91,10.84,99.31
Robby,rosso,21.0,3.58,16.62,104.36
Robby,blu,23.0,3.74,19.49,85.06
Robby,viola,22.0,4.46,17.37,64.93
Robby,rosso,27.0,2.58,12.59,98.34
Robby,blu,21.0,3.56,14.41,89.15
Robby,viola,28.0,2.38,20.85,97.36
Robby,blu,29.0,2.84,27.4,68.55
Robby,viola,20.0,3.68,12.43,93.81
Robby,viola,24.0,4.19,19.66,88.56
Robby,blu,27.0,3.17,23.36,74.51
Robby,rosso,22.0,3.38,14.31,85.61
Robby,blu,25.0,3.65,18.59,89.62
Robby,rosso,23.0,2.93,14.93,96.36
Robby,viola,26.0,2.66,13.38,70.95
Robby,rosso,24.0,3.26,10.67,67.72
Robby,blu,24.0,3.76,23.46,83.51
Robby,blu,20.0,3.04,17.57,83.66
Robby,rosso,29.0,4.01,11.57,80.55
Robby,rosso,20.0,3.47,14.65,92.07
Robby,viola,29.0,4.59,11.14,76.43
Robby,blu,29.0,4.23,21.69,98.42
Robby,viola,21.0,3.64,18.89,101.62
Robby,rosso,23.0,4.18,18.65,77.3
Robby,blu,23.0,3.37,12.54,79.38
Robby,viola,23.0,3.17,14.8,80.41
Robby,rosso,29.0,3.53,22.5,74.47
Robby,rosso,27.0,3.15,21.47,80.25
Robby,viola,24.0,4.42,15.53,107.35
Robby,blu,25.0,3.83,16.29,56.36
Robby,blu,27.0,3.43,16.68,90.53
Robby,viola,21.0,2.22,20.8,71.21
Robby,blu,23.0,3.3,18.16,62.27
